tweet_id,tweet_created,date,hour,weekday,airline,tweet_text_raw,retweet_count,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
570306133677760513,2015-02-24 11:35:52-08:00,2015-02-24,11,Tuesday,Virgin America,@VirginAmerica What @dhepburn said.,0,0.014501447789371014,0.9401869177818298,0.04531169310212135,0.03081024531275034,Neutral
570301130888122368,2015-02-24 11:15:59-08:00,2015-02-24,11,Tuesday,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.,0,0.8882012963294983,0.1039208248257637,0.007877920754253864,-0.8803233755752444,Negative
570301083672813571,2015-02-24 11:15:48-08:00,2015-02-24,11,Tuesday,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!,0,0.22584877908229828,0.6666248440742493,0.10752632468938828,-0.11832245439291,Neutral
570301031407624196,2015-02-24 11:15:36-08:00,2015-02-24,11,Tuesday,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",0,0.8880061507225037,0.10499877482652664,0.0069950046017766,-0.8810111461207271,Negative
570300817074462722,2015-02-24 11:14:45-08:00,2015-02-24,11,Tuesday,Virgin America,@VirginAmerica and it's a really big bad thing about it,0,0.9353809952735901,0.059106096625328064,0.005512948147952557,-0.9298680471256375,Negative
570300767074181121,2015-02-24 11:14:33-08:00,2015-02-24,11,Tuesday,Virgin America,@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying VA,0,0.8860055804252625,0.10027008503675461,0.013724279589951038,-0.8722813008353114,Negative
570300616901320704,2015-02-24 11:13:57-08:00,2015-02-24,11,Tuesday,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",0,0.493897020816803,0.3649452030658722,0.14115773141384125,-0.35273928940296173,Negative
570300248553349120,2015-02-24 11:12:29-08:00,2015-02-24,11,Tuesday,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",0,0.8863454461097717,0.1035817414522171,0.01007279846817255,-0.8762726476415992,Negative
570299953286942721,2015-02-24 11:11:19-08:00,2015-02-24,11,Tuesday,Virgin America,"@virginamerica Well, I didn't…but NOW I DO! :-D",0,0.0037799037527292967,0.05315856635570526,0.9430615305900574,0.9392816268373281,Positive
570295459631263746,2015-02-24 10:53:27-08:00,2015-02-24,10,Tuesday,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",0,0.004110300447791815,0.006675138603895903,0.9892145991325378,0.985104298684746,Positive
570294189143031808,2015-02-24 10:48:24-08:00,2015-02-24,10,Tuesday,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,0,0.8475822806358337,0.14707018435001373,0.005347561091184616,-0.8422347195446491,Negative
570289724453216256,2015-02-24 10:30:40-08:00,2015-02-24,10,Tuesday,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,0,0.005649067461490631,0.010766725987195969,0.9835842251777649,0.9779351577162743,Positive
570289584061480960,2015-02-24 10:30:06-08:00,2015-02-24,10,Tuesday,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,0,0.0023815666791051626,0.011326718144118786,0.9862917065620422,0.9839101398829371,Positive
570287408438120448,2015-02-24 10:21:28-08:00,2015-02-24,10,Tuesday,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,0,0.005538006313145161,0.016465427353978157,0.9779965281486511,0.972458521835506,Positive
570285904809598977,2015-02-24 10:15:29-08:00,2015-02-24,10,Tuesday,Virgin America,@VirginAmerica Thanks!,0,0.009863944724202156,0.1188926249742508,0.871243417263031,0.8613794725388288,Positive
570282469121007616,2015-02-24 10:01:50-08:00,2015-02-24,10,Tuesday,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.,0,0.2586625814437866,0.7302700281143188,0.011067403480410576,-0.24759517796337605,Neutral
570277724385734656,2015-02-24 09:42:59-08:00,2015-02-24,9,Tuesday,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,0,0.0016086377436295152,0.0071213156916201115,0.9912700653076172,0.9896614275639877,Positive
570276917301137409,2015-02-24 09:39:46-08:00,2015-02-24,9,Tuesday,Virgin America,@VirginAmerica I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,0,0.7516882419586182,0.224238783121109,0.024073000997304916,-0.7276152409613132,Negative
570270684619923457,2015-02-24 09:15:00-08:00,2015-02-24,9,Tuesday,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍,0,0.0022843340411782265,0.009497448801994324,0.9882182478904724,0.9859339138492942,Positive
570267956648792064,2015-02-24 09:04:10-08:00,2015-02-24,9,Tuesday,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,0,0.0034633162431418896,0.011038814671337605,0.9854978322982788,0.9820345160551369,Positive
570265883513384960,2015-02-24 08:55:56-08:00,2015-02-24,8,Tuesday,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,0,0.5728146433830261,0.407260924577713,0.019924428313970566,-0.5528902150690556,Negative
570264145116819457,2015-02-24 08:49:01-08:00,2015-02-24,8,Tuesday,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,0,0.005208091344684362,0.011109339073300362,0.9836825728416443,0.9784744814969599,Positive
570259420287868928,2015-02-24 08:30:15-08:00,2015-02-24,8,Tuesday,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.,0,0.0069956411607563496,0.020176462829113007,0.9728278517723083,0.965832210611552,Positive
570258822297579520,2015-02-24 08:27:52-08:00,2015-02-24,8,Tuesday,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,0,0.009947267360985279,0.9103627800941467,0.07968994975090027,0.06974268238991499,Neutral
570256553502068736,2015-02-24 08:18:51-08:00,2015-02-24,8,Tuesday,Virgin America,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,0,0.9325366020202637,0.06258369237184525,0.004879643674939871,-0.9276569583453238,Negative
